"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.820443048E1,6.506285877E1,2.547549315E1,1.251496511E1,3.000000000E1,5.659999847E0,8.400000000E1,1.630621831E-1,2.500000000E0,1.000000000E2,1.700000000E1
8.917032324E1,6.506286488E1,2.547563170E1,1.351497855E1,3.100000000E1,5.750000000E0,8.290000153E1,1.690481776E-1,2.500000000E0,1.000000000E2,1.900000000E1
9.023359505E1,6.506286937E1,2.547575894E1,1.251499131E1,3.000000000E1,5.779999733E0,8.209999847E1,1.752777584E-1,2.500000000E0,1.000000000E2,1.800000000E1
9.123318017E1,6.506287574E1,2.547589095E1,1.251500392E1,3.000000000E1,5.969999790E0,7.950000000E1,1.811751316E-1,2.500000000E0,1.000000000E2,1.700000000E1
9.221895774E1,6.506288236E1,2.547601576E1,1.251501562E1,3.000000000E1,6.019999981E0,7.919999695E1,1.875546575E-1,2.500000000E0,1.000000000E2,1.900000000E1
9.320096543E1,6.506288886E1,2.547615096E1,1.251502854E1,3.000000000E1,5.759999752E0,8.450000000E1,1.940530487E-1,3.000000000E0,1.000000000E2,1.800000000E1
9.422948043E1,6.506288622E1,2.547628943E1,1.251504526E1,3.000000000E1,6.089999676E0,9.009999847E1,2.003999306E-1,2.500000000E0,1.000000000E2,1.800000000E1
9.522598966E1,6.506288408E1,2.547642471E1,1.251506142E1,3.000000000E1,6.339999676E0,8.819999695E1,2.069013417E-1,3.000000000E0,1.000000000E2,1.800000000E1
9.622222862E1,6.506288089E1,2.547656318E1,1.251507834E1,3.000000000E1,6.250000000E0,8.959999847E1,2.137755783E-1,3.000000000E0,1.000000000E2,1.800000000E1
9.723375412E1,6.506287708E1,2.547670953E1,1.251509639E1,3.000000000E1,6.099999905E0,9.140000153E1,2.204622048E-1,3.000000000E0,1.000000000E2,1.800000000E1
9.820452397E1,6.506287448E1,2.547685202E1,1.351511354E1,3.100000000E1,6.420000076E0,8.809999847E1,2.272980217E-1,2.500000000E0,1.000000000E2,1.700000000E1
9.919901312E1,6.506287188E1,2.547699770E1,1.251513105E1,3.000000000E1,6.460000038E0,8.869999695E1,2.336846610E-1,3.000000000E0,1.000000000E2,1.600000000E1
1.002252345E2,6.506287289E1,2.547713391E1,1.251514615E1,3.000000000E1,6.449999809E0,8.850000000E1,2.403277496E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.012152550E2,6.506287436E1,2.547727556E1,1.251516169E1,3.000000000E1,6.429999828E0,9.069999695E1,2.469736182E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.021892759E2,6.506287130E1,2.547741713E1,1.151517891E1,2.900000000E1,6.329999924E0,9.240000153E1,2.538352216E-1,2.500000000E0,1.000000000E2,1.600000000E1
1.032080674E2,6.506287058E1,2.547756348E1,1.151519579E1,2.900000000E1,6.399999619E0,9.109999847E1,2.604654250E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.042233316E2,6.506286690E1,2.547770463E1,1.151521320E1,2.900000000E1,6.389999866E0,9.180000305E1,2.672826407E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.052190030E2,6.506286409E1,2.547784989E1,1.151523074E1,2.900000000E1,6.529999733E0,9.090000153E1,2.732826871E-1,2.500000000E0,1.000000000E2,1.500000000E1
1.062225808E2,6.506286920E1,2.547797729E1,1.151524330E1,2.900000000E1,6.579999924E0,8.740000153E1,2.798499112E-1,2.000000000E0,1.000000000E2,1.600000000E1
1.072072661E2,6.506286828E1,2.547811735E1,1.151525955E1,2.900000000E1,6.619999886E0,8.750000000E1,2.862196511E-1,2.000000000E0,1.000000000E2,1.600000000E1
1.082419385E2,6.506287109E1,2.547825306E1,1.151527392E1,2.900000000E1,6.359999657E0,8.719999695E1,2.925872761E-1,2.000000000E0,1.000000000E2,1.700000000E1
1.091713143E2,6.506287348E1,2.547838876E1,1.151528844E1,2.900000000E1,6.159999847E0,8.659999847E1,2.989781039E-1,2.000000000E0,1.000000000E2,1.600000000E1
1.102187657E2,6.506287461E1,2.547852505E1,1.151530350E1,2.900000000E1,6.139999866E0,8.919999695E1,3.052620350E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.112206162E2,6.506287394E1,2.547865908E1,1.151531897E1,2.900000000E1,6.289999962E0,8.950000000E1,3.117936581E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.122224935E2,6.506287176E1,2.547879830E1,1.151533559E1,2.900000000E1,6.469999790E0,8.940000153E1,3.183881130E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.132222086E2,6.506286958E1,2.547893886E1,1.051535236E1,2.800000000E1,6.460000038E0,9.069999695E1,3.246421446E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.142136162E2,6.506286585E1,2.547907197E1,1.051536887E1,2.800000000E1,6.589999676E0,8.890000153E1,3.311504761E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.152319324E2,6.506286220E1,2.547921052E1,1.051538596E1,2.800000000E1,7.019999981E0,8.990000153E1,3.384515151E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.162254438E2,6.506285793E1,2.547936592E1,1.051540519E1,2.800000000E1,6.929999828E0,8.940000153E1,3.452222974E-1,2.500000000E0,1.000000000E2,1.800000000E1
