"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.102194020E-1,6.434855461E-1,1.436376095E0,2.801085234E0,3.212993685E0
7.182196750E-1,1.617665768E0,1.360240459E0,2.097892761E0,2.977960826E0
7.262203390E-1,2.109985113E0,1.243077755E0,1.960284948E0,3.136876880E0
7.342197140E-1,2.018295765E0,9.791860580E-1,2.101262093E0,3.073698995E0
7.422204960E-1,1.517166615E0,1.274477005E0,2.331765652E0,3.059937455E0
7.502216290E-1,2.090715408E0,2.230345249E0,3.735869169E0,4.827240340E0
7.582221360E-1,4.531358719E0,3.226595163E0,4.867218971E0,7.391478113E0
7.662223320E-1,5.353626251E0,3.516129732E0,4.103069305E0,7.606553757E0
7.742260040E-1,4.403130531E0,3.483958483E0,2.973170042E0,6.353366453E0
7.822304960E-1,2.647842884E0,3.398822069E0,1.017095089E0,4.426911544E0
7.902333470E-1,5.923237801E-1,3.316518307E0,1.014537811E-1,3.370524293E0
7.982336990E-1,-4.734630585E-1,4.186103821E0,-5.436913967E-1,4.247732666E0
8.062344410E-1,-1.253239155E0,5.096275806E0,-8.843525648E-1,5.322096855E0
8.142380350E-1,-1.199813366E0,5.958863735E0,-6.259269714E-1,6.110596837E0
8.222394410E-1,-5.308809280E-1,6.394756317E0,4.465601444E-1,6.432274783E0
8.302402610E-1,2.657647133E-1,5.708429813E0,9.019527435E-1,5.785353971E0
8.382424490E-1,1.893296242E0,3.682003260E0,1.571720123E0,4.428546354E0
8.462418630E-1,3.417986631E0,2.644259453E0,2.106850624E0,4.807656416E0
8.542430350E-1,4.367824078E0,2.927845001E0,2.953196287E0,6.030881514E0
8.622438160E-1,4.552106857E0,2.766175270E0,3.322830200E0,6.278105049E0
8.702434640E-1,3.938013315E0,1.675809860E0,2.369267464E0,4.891800882E0
8.782426830E-1,2.859997034E0,4.785528183E-1,1.081186056E0,3.094763177E0
8.862396360E-1,9.928302765E-1,-3.869895935E-1,-3.667432070E-1,1.126931002E0
8.942372930E-1,3.141312599E-1,-1.175963402E0,2.677303553E-1,1.246293671E0
9.022358470E-1,-2.604146004E-1,-2.482795715E0,1.734804988E0,3.040006361E0
9.102324880E-1,-2.999462128E0,-3.499915123E0,4.735527039E0,6.608433646E0
9.182341680E-1,-1.734210014E0,-2.188408852E0,6.411227703E0,6.992886267E0
9.262319410E-1,2.174496651E-1,-3.795194626E-1,5.809958458E0,5.826399974E0
9.342280350E-1,7.397418022E-1,1.326637268E-1,3.969953537E0,4.040463919E0
9.422247140E-1,-3.374267101E0,-1.353985786E0,2.423379421E0,4.369407717E0
9.502222930E-1,-3.801468372E0,-2.134839058E0,1.920300007E0,4.764058323E0
9.582180740E-1,-1.911446571E0,-1.584181786E0,7.851121426E-1,2.603778217E0
9.662151050E-1,-1.495076656E0,-1.824696541E0,-5.217483044E-1,2.415986955E0
9.742113940E-1,-3.768378496E0,-2.227521896E0,-4.967086792E0,6.620761398E0
9.822085040E-1,-6.111157417E0,-5.092451096E0,-8.456669807E0,1.161010626E1
9.902076830E-1,-5.743003368E0,-4.030773163E0,-8.360998154E0,1.091492144E1
9.982066290E-1,-1.316439152E0,5.041208267E-1,-1.091848373E0,1.783054323E0
1.006205379E0,4.752895832E0,2.614268303E0,3.117464542E0,6.256436903E0
1.014201941E0,7.612899780E0,2.324023724E0,4.349207401E0,9.070442897E0
1.022201746E0,3.031011820E0,1.231956482E-1,6.129290581E0,6.838889738E0
1.030200964E0,-3.781912088E0,-3.185189247E0,6.617399216E0,8.260645372E0
1.038200964E0,-7.941905975E0,-4.768434525E0,5.450033188E0,1.074777652E1
1.046202957E0,-5.664727211E0,-1.974053383E0,4.300662041E0,7.381173018E0
1.054203269E0,-2.563882113E0,6.921138763E-1,1.719810724E0,3.163899814E0
1.062202527E0,-1.575245857E0,9.415092468E-1,1.922571182E0,2.657841064E0
1.070200027E0,-3.337187767E-1,1.273392677E0,2.573855162E0,2.890956161E0
1.078200183E0,1.065072060E0,2.118426323E0,3.541568518E0,4.262020195E0
1.086202722E0,4.356709480E0,4.047031403E0,3.852909565E0,7.085498768E0
1.094204363E0,5.441862106E0,5.131941795E0,2.530679226E0,7.896519937E0
1.102205222E0,4.534488201E0,4.776389122E0,1.152087688E0,6.686013935E0
1.110204363E0,4.199523926E0,3.958457947E0,-3.438153267E-1,5.781314686E0
1.118202175E0,4.171564102E0,2.852230072E0,-1.668886662E0,5.321874306E0
1.126199754E0,5.717514515E0,3.642923832E0,-1.714681506E0,6.992924920E0
1.134199285E0,7.001417637E0,4.153491974E0,-1.215997815E0,8.231038524E0
1.142199988E0,5.163954735E0,4.313876152E0,6.170527935E-1,6.756974923E0
1.150197488E0,2.675939083E0,3.735319614E0,3.757319450E-1,4.610253474E0
1.158194949E0,7.451437712E-1,2.458178043E0,-1.183056474E0,2.827985352E0
1.166193543E0,4.024108648E-1,3.064554214E0,-6.636772156E-1,3.161312146E0
1.174189988E0,-8.767700195E-1,2.718231678E0,-1.554610252E0,3.251818285E0
1.182188425E0,-3.442647219E0,1.293131828E0,-2.322891712E0,4.349693748E0
1.190187449E0,-6.775979996E0,-1.439085007E0,-2.757786512E0,7.455887406E0
1.198186941E0,-8.000588417E0,-3.770581245E0,-3.055500746E0,9.357498745E0
1.206187332E0,-6.089403152E0,-3.459144592E0,-2.012389183E0,7.286715466E0
1.214183347E0,-4.423991203E0,-3.525301933E0,-9.405764341E-1,5.734469105E0
1.222178152E0,-2.377409458E0,-2.853018761E0,1.298166990E0,3.934085575E0
1.230176941E0,-1.205420732E0,-2.889133453E0,4.206382751E0,5.243451831E0
1.238173933E0,-7.237266302E-1,-2.884798050E0,6.244809151E0,6.916898247E0
1.246170847E0,-1.258218527E0,-3.670618057E0,8.306701660E0,9.168306455E0
1.254168269E0,-2.425982952E-1,-3.680488586E0,8.580902100E0,9.340060546E0
1.262164832E0,1.336317658E0,-1.581988335E0,8.747179985E0,8.988970445E0
1.270164168E0,1.596882582E0,-3.755292892E-1,8.391773224E0,8.550608988E0
1.278159988E0,1.859965563E0,4.656887054E-2,6.640737057E0,6.896450479E0
1.286161160E0,2.541673422E0,-7.715158463E-1,3.225683689E0,4.178561445E0
1.294162996E0,3.406922340E0,-1.774481773E0,-2.423363686E0,4.541871525E0
1.302164246E0,5.207459450E0,-4.284988403E0,-7.064125061E0,9.766300344E0
1.310162449E0,8.443857193E0,-2.944818497E0,-7.323428631E0,1.155868882E1
1.318160418E0,8.623761177E0,2.910269260E0,-3.062160015E0,9.602903101E0
1.326155964E0,1.766901731E0,1.565069771E1,4.518950939E0,1.638557897E1
1.334153816E0,-7.826146126E0,7.052927017E0,1.575450230E1,1.895248494E1
1.342152410E0,-1.036392784E1,-1.088217735E1,9.661740303E0,1.786566567E1
1.350151668E0,-1.846360445E0,-9.930630684E0,1.751763701E0,1.025159250E1
1.358153660E0,2.190152407E0,-4.196279526E0,-3.273532391E-1,4.744753899E0
1.366152839E0,2.111870766E0,-1.915922165E-1,-1.191577911E-1,2.123888954E0
1.374150144E0,1.094392419E0,1.933625698E0,1.015722752E-2,2.221869995E0
1.382146824E0,-2.202215195E-1,3.206762791E0,9.073450565E-1,3.339925174E0
1.390141746E0,-6.551642418E-1,3.224647999E0,1.326296091E0,3.547767780E0
