"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.497391700E-1,-1.174307704E0,1.180009842E-1,1.329208374E0,1.777559484E0
7.577385450E-1,-8.278784752E-1,-9.564399719E-3,1.621967793E0,1.821058420E0
7.657374910E-1,-4.038431644E-1,-1.461372375E-1,1.568816662E0,1.626539613E0
7.737353810E-1,-3.734230995E-2,-1.794118881E-1,1.384715080E0,1.396788791E0
7.817339750E-1,3.471308947E-1,-1.004819870E-1,9.422392845E-1,1.009163692E0
7.897335840E-1,6.472283602E-1,7.319450378E-3,4.119787216E-1,7.672578391E-1
7.977352250E-1,8.689097762E-1,1.025600433E-1,1.350164413E-1,8.852978036E-1
8.057363580E-1,7.732884884E-1,-1.430225372E-2,3.676080704E-2,7.742938704E-1
8.137355770E-1,5.762352943E-1,-7.600688934E-2,-1.071319580E-1,5.910172739E-1
8.217373740E-1,3.896169960E-1,-3.348779678E-1,-3.507981300E-1,6.220964435E-1
8.297373740E-1,1.981405020E-1,-3.935089111E-1,-3.216838837E-1,5.455175915E-1
8.377350690E-1,2.427563071E-1,-3.766307831E-1,-2.297453880E-1,5.035517002E-1
8.457310840E-1,4.984068871E-1,-2.809686661E-1,-4.027848244E-1,6.997059605E-1
8.537269440E-1,5.752893686E-1,-3.946685791E-1,-4.700093269E-1,8.412074134E-1
8.617234670E-1,3.903685510E-1,-5.042905807E-1,-3.063297272E-1,7.074846268E-1
8.697205380E-1,7.570555210E-1,-1.503810883E-1,-5.386629105E-1,9.412254059E-1
8.777223340E-1,9.672726989E-1,2.944068909E-1,-5.026931763E-1,1.129155579E0
8.857251470E-1,1.125868559E0,5.438451767E-1,-3.290596008E-1,1.292914463E0
8.937247170E-1,1.204713345E0,4.079465866E-1,-9.652805328E-2,1.275567452E0
9.017238970E-1,1.143838406E0,-5.221080780E-2,-1.721529961E-1,1.157898493E0
9.097251470E-1,9.814519882E-1,-3.797674179E-1,-3.579993248E-1,1.111591118E0
9.177248340E-1,8.741728067E-1,-4.065179825E-1,-6.122937202E-1,1.142076427E0
9.257228420E-1,8.583065271E-1,-2.769689560E-1,-7.470679283E-1,1.171115872E0
9.337218270E-1,8.229743242E-1,-1.025314331E-1,-7.298521996E-1,1.104755025E0
9.417201860E-1,7.324646711E-1,-6.044101715E-2,-5.956592560E-1,9.460272513E-1
9.497171390E-1,6.786385775E-1,-1.398859024E-1,-5.428504944E-1,8.802301084E-1
9.577146780E-1,4.748106897E-1,-7.456207275E-2,-2.381477356E-1,5.363944796E-1
9.657140920E-1,1.058017015E-1,-1.097297668E-1,2.531991005E-1,2.955408707E-1
9.737129990E-1,4.484310448E-1,-3.323459625E-2,2.810091972E-1,5.302462723E-1
9.817127640E-1,8.134081960E-1,-3.027153015E-2,9.145641327E-2,8.190931170E-1
9.897111240E-1,7.118280530E-1,-2.121410370E-1,1.653141975E-1,7.609413778E-1
9.977105380E-1,5.272210240E-1,-2.634544373E-1,1.828465462E-1,6.170924632E-1
1.005712334E0,4.402607977E-1,-5.356597900E-2,6.975030899E-2,4.489587840E-1
1.013715538E0,4.245042801E-1,1.014175415E-1,1.898403168E-1,4.759503623E-1
1.021715538E0,3.024952114E-1,7.377338409E-2,3.589162827E-1,4.751492008E-1
1.029717959E0,1.421305835E-1,7.829570770E-2,4.872503281E-1,5.135603205E-1
1.037722374E0,1.332354844E-1,1.204833984E-1,3.296747208E-1,3.754375649E-1
1.045723975E0,1.323237121E-1,1.197986603E-1,1.001648903E-1,2.046809445E-1
1.053727881E0,3.107193112E-2,-1.842594147E-2,7.667541504E-3,3.692927586E-2
1.061731241E0,-1.555261016E-2,-1.989650726E-1,-1.290864944E-1,2.376811033E-1
1.069733506E0,-2.630677819E-2,-3.054399490E-1,-3.651976585E-1,4.768175111E-1
1.077737803E0,-5.524384975E-2,-2.998399734E-1,-5.087566376E-1,5.931182082E-1
1.085741709E0,-4.562297463E-2,-2.863731384E-1,-4.754877090E-1,5.569376910E-1
1.093742764E0,1.649096608E-2,-3.790245056E-1,-4.680404663E-1,6.024893409E-1
1.101743038E0,-3.861448765E-1,-1.338414192E0,-7.576661110E-1,1.585723290E0
1.109745811E0,3.010824919E-1,-1.412744522E-1,-4.064388275E-1,5.251682190E-1
1.117749092E0,3.670989573E-1,2.679376602E-1,-3.934001923E-2,4.561796481E-1
1.125749522E0,7.503613830E-2,-9.370517731E-2,2.296643257E-1,2.591462614E-1
1.133751006E0,-1.809924841E-1,-5.254812241E-1,1.422514915E-1,5.736935445E-1
1.141750186E0,-2.058628201E-2,-6.460571289E-1,-8.373165131E-2,6.517856996E-1
1.149751084E0,2.424453199E-1,-5.793666840E-1,-2.960987091E-1,6.943485675E-1
1.157752413E0,4.873366654E-1,-5.151834488E-1,-5.359721184E-1,8.889190756E-1
1.165753311E0,4.665182233E-1,-5.355625153E-1,-8.260989189E-1,1.089452103E0
1.173752334E0,3.871354461E-1,-5.331764221E-1,-1.270195961E0,1.430925830E0
1.181754444E0,2.335648686E-1,-8.398747444E-1,-1.616641283E0,1.836701166E0
1.189756241E0,1.549202502E-1,-1.236798286E0,-1.918475151E0,2.287841164E0
1.197759053E0,1.513753831E-1,-1.355843544E0,-1.978023529E0,2.402873968E0
1.205761749E0,1.923486292E-1,-1.210343361E0,-1.853876829E0,2.222338485E0
1.213762764E0,2.198460698E-1,-9.953927994E-1,-1.470600128E0,1.789358504E0
1.221763819E0,2.848391235E-1,-7.828245163E-1,-1.251586437E0,1.503468044E0
1.229766045E0,3.918326497E-1,-5.053992271E-1,-1.182586670E0,1.344422715E0
1.237765186E0,4.363451004E-1,-2.265448570E-1,-1.333701611E0,1.421435755E0
1.245767139E0,1.404225826E-2,-2.255325317E-1,-1.415493488E0,1.433416870E0
1.253767491E0,3.407247663E-1,-3.314018250E-3,-1.860315323E0,1.891263453E0
1.261769600E0,1.172609687E0,2.630887032E-1,-2.242128849E0,2.543888936E0
1.269771280E0,1.688150167E0,3.637032509E-1,-1.881672382E0,2.553981597E0
1.277774913E0,1.428385615E0,1.586785316E-1,-1.626658440E0,2.170594854E0
1.285779366E0,1.069745421E0,5.703401566E-2,-9.525976181E-1,1.433544686E0
1.293779639E0,8.368225098E-1,-1.529884338E-2,2.132759094E-1,8.637086204E-1
1.301780420E0,7.577011585E-1,-2.081918716E-1,9.895873070E-1,1.263620963E0
1.309780928E0,6.503332853E-1,-2.869448662E-1,1.529337883E0,1.686459338E0
1.317782139E0,5.807750225E-1,-1.117920876E-1,1.909018517E0,1.998536663E0
1.325783389E0,5.341781974E-1,1.951122284E-2,1.966726780E0,2.038072928E0
1.333783155E0,6.189923286E-1,2.517700195E-4,1.603157997E0,1.718507239E0
1.341783936E0,8.448144794E-1,-1.099500656E-1,9.205403328E-1,1.254270715E0
1.349783467E0,9.543366432E-1,-1.929860115E-1,4.471101761E-1,1.071405404E0
1.357783741E0,9.904811978E-1,-2.317953110E-1,5.155968666E-1,1.140448244E0
1.365784678E0,1.093442678E0,-5.887746811E-2,1.423120975E0,1.795649397E0
1.373789249E0,1.269713163E0,1.855430603E-1,2.538412094E0,2.844316034E0
1.381792725E0,1.472772360E0,4.040484428E-1,3.584610462E0,3.896375974E0
1.389795186E0,1.580049872E0,5.944809914E-1,4.385563374E0,4.699269236E0
1.397796319E0,1.704373002E0,8.244490623E-1,5.083122730E0,5.424273249E0
1.405801006E0,1.792431474E0,9.760794640E-1,5.295865536E0,5.675538167E0
1.413803741E0,1.870406151E0,1.069744587E0,5.126312733E0,5.560742296E0
1.421807413E0,1.846350789E0,1.061387539E0,4.841593266E0,5.289289186E0
1.429808702E0,1.790051222E0,9.277238846E-1,4.430146217E0,4.867355595E0
1.437810186E0,1.615394711E0,6.290369034E-1,3.856195927E0,4.227935019E0
1.445810030E0,1.340517044E0,2.602105141E-1,3.317185879E0,3.587257673E0
1.453810967E0,1.093957186E0,1.930189133E-2,2.931628227E0,3.129146681E0
1.461811905E0,9.758045673E-1,-9.847640991E-3,2.291587830E0,2.490716024E0
1.469812881E0,1.031785011E0,1.563334465E-1,1.662636280E0,1.963002765E0
1.477815303E0,1.123871088E0,2.963833809E-1,1.055936337E0,1.570328271E0
1.485816084E0,1.040772796E0,2.836880684E-1,8.810496330E-1,1.392815633E0
1.493815928E0,9.348609447E-1,3.640546799E-1,9.738283157E-1,1.398156781E0
1.501814795E0,7.887109518E-1,4.300189018E-1,1.235506535E0,1.527565913E0
1.509813819E0,7.214481831E-1,4.857978821E-1,1.623633862E0,1.841921274E0
1.517812530E0,7.021994591E-1,5.494523048E-1,2.086506844E0,2.269029027E0
1.525812530E0,7.245377302E-1,5.474667549E-1,2.319356918E0,2.490801334E0
1.533813038E0,8.262459040E-1,5.454673767E-1,2.285354137E0,2.490594404E0
1.541811163E0,8.461222649E-1,4.611172676E-1,2.143769741E0,2.350383102E0
1.549810850E0,8.177498579E-1,3.089041710E-1,1.956615925E0,2.143007815E0
1.557809991E0,7.202324867E-1,1.815638542E-1,1.755782604E0,1.906429338E0
1.565811202E0,4.880032837E-1,8.569717407E-3,1.400965691E0,1.483551654E0
1.573811827E0,1.798082143E-1,-2.372608185E-1,1.240144730E0,1.275375490E0
1.581811827E0,-2.151712030E-1,-5.629744530E-1,1.266558647E0,1.402643821E0
1.589812491E0,-4.120579064E-1,-7.681765556E-1,1.313523293E0,1.576461347E0
1.597814756E0,-4.578055739E-1,-7.106413841E-1,1.401974678E0,1.637110295E0
1.605813194E0,-3.771193624E-1,-4.921364784E-1,1.485578537E0,1.609770455E0
1.613812374E0,-1.109833941E-1,-2.221612930E-1,1.426358700E0,1.447816319E0
1.621811280E0,1.639757156E-1,-6.691503525E-2,9.770436287E-1,9.929652107E-1
1.629809717E0,2.683740854E-1,-6.620788574E-2,4.893980026E-1,5.620663118E-1
1.637810030E0,1.977550089E-1,-1.303234100E-1,2.554812431E-1,3.483703494E-1
1.645809170E0,8.616670966E-2,-1.520195007E-1,5.308599472E-1,5.588800533E-1
1.653808584E0,1.639012992E-2,-1.217851639E-1,8.796162605E-1,8.881582226E-1
1.661807999E0,4.121169448E-3,-2.757167816E-2,9.411287308E-1,9.415415388E-1
1.669806553E0,-7.624402642E-2,-3.787517548E-2,1.013669491E0,1.017238181E0
1.677805499E0,-1.198877841E-1,-1.922655106E-1,1.242970467E0,1.263453477E0
1.685803897E0,-1.261009723E-1,-3.228960037E-1,1.370296955E0,1.413462780E0
1.693802686E0,3.893877268E-1,-3.860263824E-1,9.829940796E-1,1.125573867E0
1.701802686E0,-1.904395819E-1,-3.027391434E-1,1.197547436E0,1.249815220E0
1.709801592E0,-5.034983158E-2,-2.928237915E-1,9.642834663E-1,1.009021051E0
1.717801124E0,-5.988252163E-2,-3.876676559E-1,6.811060905E-1,7.859883170E-1
1.725801983E0,-8.267873526E-2,-4.238929749E-1,4.853782654E-1,6.497023071E-1
1.733801944E0,3.682345152E-3,-3.050136566E-1,1.402249336E-1,3.357229846E-1
1.741802061E0,-1.207910478E-1,-2.465829849E-1,1.382761002E-1,3.074311721E-1
1.749802139E0,-1.276936233E-1,-2.872943878E-1,1.208381653E-1,3.368168477E-1
1.757799483E0,-4.016080499E-1,-4.235525131E-1,1.572399139E-1,6.044916440E-1
1.765800186E0,-5.504189730E-1,-5.410518646E-1,2.870650291E-1,8.234710055E-1
1.773801709E0,-5.042454004E-1,-6.169071198E-1,3.210132122E-1,8.590036674E-1
1.781801397E0,-7.090765238E-1,-7.265071869E-1,4.102988243E-1,1.094964536E0
1.789799053E0,-6.413827538E-1,-6.649322510E-1,2.074227333E-1,9.468531700E-1
1.797800264E0,-5.653564334E-1,-5.369300842E-1,3.049228191E-1,8.371975500E-1
1.805799405E0,-3.449400663E-1,-3.419952393E-1,8.696744442E-1,9.961315334E-1
1.813799405E0,4.562062025E-2,-2.304954529E-1,1.069333076E0,1.094843652E0
1.821801827E0,2.170068026E-2,-1.516971588E-1,1.410051107E0,1.418353649E0
1.829802959E0,-2.524971962E-3,-1.874103546E-1,1.634915352E0,1.645623658E0
1.837804639E0,-1.058888435E-2,-3.326616287E-1,1.557482719E0,1.592648205E0
1.845805499E0,9.310457110E-2,-4.285449982E-1,1.161125183E0,1.241181279E0
1.853804913E0,6.237840652E-2,-4.924297333E-1,6.707129478E-1,8.344063556E-1
1.861804327E0,-2.444919348E-1,-5.592327118E-1,4.098825455E-1,7.352014916E-1
1.869805850E0,-3.664982319E-1,-5.369405746E-1,3.037238121E-2,6.508061280E-1
1.877805342E0,-4.462743998E-1,-4.592962265E-1,-4.876186848E-1,8.049135639E-1
1.885808584E0,-3.426963091E-1,-4.321451187E-1,-8.035551310E-1,9.746235234E-1
1.893812256E0,-3.505814672E-1,-5.086345673E-1,-7.400075197E-1,9.639645312E-1
1.901813389E0,-4.189824462E-1,-5.698070526E-1,-3.173452616E-1,7.751995759E-1
